id,headline,date,lead_paragraph,word_count,keywords
nyt://article/caa282d5-2a83-51a8-b90e-d4ae8fb678c4,New York Celebrates Billy Strayhorn’s Centennial With Special ‘A Train’ Ride,2015-11-27,"All aboard the A Train! This Sunday, Jazz at Lincoln Center will celebrate the centennial of jazz great Billy Strayhorn with a series of performances — including a surprise pop-up concert on the subway that inspired Strayhorn’s most famous composition, “Take the A Train.”",251,"['Jazz', 'Music', 'Subways', 'Ellington, Duke', 'Marsalis, Wynton', 'Jazz at Lincoln Center', 'New York Transit Museum']"
nyt://article/caa282d5-2a83-51a8-b90e-d4ae8fb678c4,New York Celebrates Billy Strayhorn’s Centennial With Special ‘A Train’ Ride,2015-11-27,"All aboard the A Train! This Sunday, Jazz at Lincoln Center will celebrate the centennial of jazz great Billy Strayhorn with a series of performances — including a surprise pop-up concert on the subway that inspired Strayhorn’s most famous composition, “Take the A Train.”",251,"['Jazz', 'Music', 'Subways', 'Ellington, Duke', 'Marsalis, Wynton', 'Jazz at Lincoln Center', 'New York Transit Museum']"
nyt://article/9c83ead4-f1a5-50aa-bfa0-ca38aa328f5f,"The Mets, the Royals and Charlie Parker, Linked by Autumn in New York",2015-10-30,"KANSAS CITY, Mo. — After the Mets and the Royals had secured spots in the World Series, observers searched for connections between the teams. There seemed to be few.",1074,"['Waldstein, David', 'Baseball', 'Music', 'Kansas City (Kan)', 'New York City', 'Jazz', 'Birdland (Manhattan, NY)', 'Count Basie Orchestra', 'New York Giants (Baseball)', 'Coltrane, John', 'ARMSTRONG, LOUIS', 'Ellington, Duke', 'Parker, Charlie', 'Kansas City Royals', 'New York Mets', 'World Series']"
nyt://article/9c83ead4-f1a5-50aa-bfa0-ca38aa328f5f,"The Mets, the Royals and Charlie Parker, Linked by Autumn in New York",2015-10-30,"KANSAS CITY, Mo. — After the Mets and the Royals had secured spots in the World Series, observers searched for connections between the teams. There seemed to be few.",1074,"['Waldstein, David', 'Baseball', 'Music', 'Kansas City (Kan)', 'New York City', 'Jazz', 'Birdland (Manhattan, NY)', 'Count Basie Orchestra', 'New York Giants (Baseball)', 'Coltrane, John', 'ARMSTRONG, LOUIS', 'Ellington, Duke', 'Parker, Charlie', 'Kansas City Royals', 'New York Mets', 'World Series']"
nyt://article/6c2eb905-dba9-5002-b15b-ef6fffab839f,"Gary Keys, Filmmaker Who Documented Duke Ellington, Dies at 81",2015-08-31,"Gary Keys, a filmmaker whose documentaries captured some of the most important figures in jazz from the 1960s through the 1980s — notably Duke Ellington, the subject of three of his films — died on Aug. 9 in Manhattan. He was 81.",523,"['Deaths (Obituaries)', 'Documentary Films and Programs', 'Ellington, Duke', 'Jazz', 'Keys, Gary (1934-2015)']"
nyt://article/6c2eb905-dba9-5002-b15b-ef6fffab839f,"Gary Keys, Filmmaker Who Documented Duke Ellington, Dies at 81",2015-08-31,"Gary Keys, a filmmaker whose documentaries captured some of the most important figures in jazz from the 1960s through the 1980s — notably Duke Ellington, the subject of three of his films — died on Aug. 9 in Manhattan. He was 81.",523,"['Deaths (Obituaries)', 'Documentary Films and Programs', 'Ellington, Duke', 'Jazz', 'Keys, Gary (1934-2015)']"
nyt://article/29979557-d932-5933-8df3-b3972d472f9a,Nancy Harms Celebrates Duke Ellington,2015-09-08,"“A royal-blue night sky and twinkling stars: the perfect moment.” With those words, the complicated jazz singer Nancy Harms introduced her rendition of “Prelude to a Kiss” on Sunday evening at the Metropolitan Room, where she sang a program of Duke Ellington-related songs titled “Ellington at Night.”",326,"['Music', 'Jazz', 'Metropolitan Room', 'Harms, Nancy (Singer)']"
nyt://article/29979557-d932-5933-8df3-b3972d472f9a,Nancy Harms Celebrates Duke Ellington,2015-09-08,"“A royal-blue night sky and twinkling stars: the perfect moment.” With those words, the complicated jazz singer Nancy Harms introduced her rendition of “Prelude to a Kiss” on Sunday evening at the Metropolitan Room, where she sang a program of Duke Ellington-related songs titled “Ellington at Night.”",326,"['Music', 'Jazz', 'Metropolitan Room', 'Harms, Nancy (Singer)']"
nyt://article/680d6c85-388a-592b-99e4-980ce29222b1,In Performance: T. Oliver Reid,2015-03-17,"This week’s video features the singer T. Oliver Reid, with Lawrence Yurman on piano, singing the jazz standard “Sophisticated Lady,” a number Mr. Reid performs in his cabaret show “Drop Me Off in Harlem.” The song was composed as an instrumental piece by Duke Ellington, who introduced it on record in 1933; the lyricist Mitchell Parish later added the words.",202,"['Theater', 'Ellington, Duke', 'Reid, T Oliver']"
nyt://article/680d6c85-388a-592b-99e4-980ce29222b1,In Performance: T. Oliver Reid,2015-03-17,"This week’s video features the singer T. Oliver Reid, with Lawrence Yurman on piano, singing the jazz standard “Sophisticated Lady,” a number Mr. Reid performs in his cabaret show “Drop Me Off in Harlem.” The song was composed as an instrumental piece by Duke Ellington, who introduced it on record in 1933; the lyricist Mitchell Parish later added the words.",202,"['Theater', 'Ellington, Duke', 'Reid, T Oliver']"
nyt://video/ee4da642-e1e6-5223-9d04-5c660904fff0,In Performance: T. Oliver Reid,2015-03-16,"Mr. Reid, with Lawrence Yurman on piano, sings “Take the A Train,” a number Mr. Reid performs in his show “Drop Me Off in Harlem,” on Sunday at the Metropolitan Room.",0,"['Reid, T Oliver', 'Theater', 'Music', 'Metropolitan Room', 'Ellington, Duke']"
nyt://video/ee4da642-e1e6-5223-9d04-5c660904fff0,In Performance: T. Oliver Reid,2015-03-16,"Mr. Reid, with Lawrence Yurman on piano, sings “Take the A Train,” a number Mr. Reid performs in his show “Drop Me Off in Harlem,” on Sunday at the Metropolitan Room.",0,"['Reid, T Oliver', 'Theater', 'Music', 'Metropolitan Room', 'Ellington, Duke']"
